Timestamp,Gender,Age,Income Level,Social Media Usage,Previous Activism Participation,1- What is your primary source of information about Gaza?,2- How would you rate the overall awareness level regarding the boycotting of certain products to support Gaza?,3- Do you verify about the information about product's ties to Israel before boycotting?,4-  To what extent do you believe your understanding of the situation in Gaza is informed and accurate?,5-  How confident are you in recognizing brands or products that have ties to Israel in your day-to-day life?,1-  How frequently do you come across information about the situation in Gaza on your social media platforms? ,2- Have you ever participated in discussions or shared content related to boycotting Israeli products on social media?,3- To what extent do recommendations or information from social media impact your decision to boycott certain products?,4- What motivates your decision to support or boycott a product related to the Israeli-Palestinian conflict?,5-  Do you follow specific social media accounts or groups that provide information about boycotting products in solidarity with Gaza?,1- Do you take into account the economic consequences on companies when deciding to boycott certain products in support of Gaza?,2- Do you believe that choosing local products during the boycott can encourage the start of new local businesses?,3- Do you think the local workers are also being effected by the boycotts of restaurants or products related to Israel?,4-  To what extent do you believe that consumer boycotts impact the overall economy of Israel?,"5-  In your view, what role should the government play in regulating or supporting consumer boycotts against Israeli products in Pakistan?"
12/1/2023 5:04:38,Male,16-24 Years,"Less than 30,000 PKR per month",1-2 hours per day,Occasionally Involved,Social media platforms,Very High,Often verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"No, but I support the cause",Moderately influence,Humanitarian concerns,Yes,Always,Yes,Yes,Somewhat influences,Actively support and regulate
12/1/2023 5:32:19,Male,16-24 Years,"Less than 30,000 PKR per month",5-6 hours per day,Actively Involved,Social media platforms,Moderate,Always verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,Not sure,Always,Yes,Maybe,Strongly influences,Actively support and regulate
12/1/2023 5:42:41,Male,16-24 Years,"Less than 30,000 PKR per month",5-6 hours per day,Occasionally Involved,Social media platforms,High,Always verify before boycotting,Somewhat informed and accurate,Confident,Several times a week,"Yes, frequently",Moderately influence,Humanitarian concerns,Yes,Often,Yes,Maybe,Somewhat influences,Actively support and regulate
12/1/2023 5:46:12,Male,16-24 Years,"Less than 30,000 PKR per month",3-4 hours per day,Occasionally Involved,Social media platforms,High,Often verify before boycotting,Very informed and accurate,Confident,Multiple times a day,"No, but I support the cause",Strongly influence,Social media influence,No,Often,Somewhat,Maybe,Somewhat influences,Discourage but not regulate
12/1/2023 5:51:17,Male,16-24 Years,"Less than 30,000 PKR per month",Less than 1 hour per day,No Previous Involvement,Conversations with friends and family,Low,Occasionally verify before boycotting,Very informed and accurate,Neutral,Once a day,"No, but I support the cause",Moderately influence,Humanitarian concerns,No,Never,Yes,Doubtful,Minimally influences,Actively support and regulate
12/1/2023 5:52:35,Male,16-24 Years,"30,000 - 59,999 PKR per month",7 or more hours per day,Occasionally Involved,Social media platforms,Low,Always verify before boycotting,Very informed and accurate,Not very confident,Several times a week,"Yes, frequently",Strongly influence,Humanitarian concerns,Yes,Always,Yes,Yes,Strongly influences,Actively support and regulate
12/1/2023 5:52:38,Male,16-24 Years,"Less than 30,000 PKR per month",3-4 hours per day,Occasionally Involved,Social media platforms,Moderate,Always verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,No,Always,Yes,Maybe,Somewhat influences,Actively support and regulate
12/1/2023 5:54:23,Female,16-24 Years,"100,000 - 149,999 PKR per month",3-4 hours per day,No Previous Involvement,Social media platforms,High,Always verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"Yes, frequently",Moderately influence,Humanitarian concerns,Yes,Always,Yes,Maybe,Strongly influences,Actively support and regulate
12/1/2023 5:54:33,Female,16-24 Years,"Less than 30,000 PKR per month",Less than 1 hour per day,Previously Involved,Social media platforms,Low,Rarely verify before boycotting,Not very informed and accurate,Not very confident,Multiple times a day,"No, but I support the cause",Moderately influence,Humanitarian concerns,No,Rarely,Yes,Yes,Somewhat influences,Actively support and regulate
12/1/2023 5:55:27,Female,16-24 Years,"Less than 30,000 PKR per month",1-2 hours per day,No Previous Involvement,Social media platforms,Moderate,Rarely verify before boycotting,Neutral,Neutral,Multiple times a day,"No, I do not support the cause",Do not influence,Humanitarian concerns,No,Rarely,Neutral,Maybe,Neutral,Support but not regulate
